State-CD	districtID	Party	Obama2012	Romney2012	Obama2008	McCain2008
CA33	53	(D)	0.606	0.368	0.64	0.33
CA34	54	(D)	0.83	0.141	0.77	0.19
CA35	55	(D)	0.674	0.306	0.64	0.32
CA36	56	(D)	0.507	0.475	0.5	0.47
CA37	57	(D)	0.849	0.127	0.84	0.13
CA38	58	(D)	0.649	0.33	0.61	0.35
CA39	59	(R)	0.471	0.508	0.47	0.49
CA40	60	(D)	0.815	0.165	0.77	0.19
CA41	61	(D)	0.615	0.363	0.59	0.38
CA42	62	(R)	0.414	0.565	0.43	0.54
CA43	63	(D)	0.78	0.2	0.75	0.22
CA44	64	(D)	0.847	0.136	0.81	0.16
CA45	65	(R)	0.43	0.548	0.46	0.51
CA46	66	(D)	0.614	0.362	0.58	0.39
CA47	67	(D)	0.6	0.375	0.58	0.39
CA48	68	(R)	0.43	0.547	0.46	0.51
CA49	69	(R)	0.457	0.524	0.49	0.48
CA50	70	(R)	0.376	0.604	0.39	0.58
CA51	71	(D)	0.694	0.289	0.65	0.32
CA52	72	(D)	0.521	0.457	0.55	0.43
CA53	73	(D)	0.614	0.364	0.61	0.36
CO1	74	(D)	0.69	0.288	0.709	0.276
CO2	75	(D)	0.579	0.395	0.612	0.372
CO3	76	(R)	0.458	0.518	0.484	0.499
CO4	77	(R)	0.392	0.585	0.419	0.564
CO5	78	(R)	0.383	0.591	0.397	0.588
CO6	79	(R)	0.516	0.465	0.536	0.449
CO7	80	(D)	0.561	0.413	0.574	0.407
CT1	81	(D)	0.633	0.356	0.658	0.329
CT2	82	(D)	0.559	0.426	0.586	0.4
CT3	83	(D)	0.626	0.363	0.626	0.362
CT4	84	(D)	0.551	0.44	0.596	0.397
CT5	85	(D)	0.535	0.453	0.564	0.424
DE1	86	(D)	0.586	0.4	0.619	0.369
FL1	87	(R)	0.302	0.687	0.321	0.67
FL2	88	(D)	0.465	0.523	0.471	0.52
FL3	89	(R)	0.374	0.615	0.396	0.593
FL4	90	(R)	0.354	0.637	0.366	0.627
FL5	91	(D)	0.712	0.281	0.706	0.288
FL6	92	(R)	0.414	0.577	0.456	0.536
FL7	93	(R)	0.471	0.518	0.492	0.5
FL8	94	(R)	0.422	0.568	0.44	0.551
FL9	95	(D)	0.619	0.372	0.603	0.391
FL10	96	(R)	0.457	0.534	0.472	0.52
FL11	97	(R)	0.402	0.588	0.431	0.559
FL12	98	(R)	0.448	0.54	0.468	0.522
FL13	99	(R)	0.501	0.486	0.513	0.475
FL14	100	(D)	0.651	0.34	0.652	0.34
FL15	101	(R)	0.456	0.533	0.461	0.531
FL16	102	(R)	0.449	0.542	0.482	0.509
FL17	103	(R)	0.412	0.579	0.432	0.559
FL18	104	(D)	0.476	0.517	0.512	0.481
FL19	105	(R)	0.388	0.606	0.424	0.569
FL20	106	(D)	0.826	0.17	0.805	0.191
FL21	107	(D)	0.606	0.389	0.636	0.359
FL22	108	(D)	0.544	0.449	0.568	0.426
FL23	109	(D)	0.615	0.379	0.619	0.376
FL24	110	(D)	0.875	0.121	0.862	0.135
FL25	111	(R)	0.487	0.508	0.456	0.54
FL26	112	(R)	0.531	0.464	0.496	0.5
FL27	113	(R)	0.531	0.464	0.486	0.51
GA1	114	(R)	0.43	0.559	0.444	0.55
GA2	115	(D)	0.586	0.408	0.579	0.416
GA3	116	(R)	0.33	0.659	0.34	0.653
GA4	117	(D)	0.736	0.256	0.732	0.263
GA5	118	(D)	0.831	0.158	0.844	0.15
GA6	119	(R)	0.375	0.608	0.401	0.59
GA7	120	(R)	0.383	0.602	0.391	0.601
GA8	121	(R)	0.375	0.616	0.378	0.616
GA9	122	(R)	0.205	0.781	0.243	0.747
GA10	123	(R)	0.363	0.625	0.388	0.604
GA11	124	(R)	0.315	0.669	0.347	0.643
GA12	125	(R)	0.436	0.554	0.439	0.556
GA13	126	(D)	0.692	0.3	0.671	0.323
GA14	127	(R)	0.253	0.732	0.278	0.71
HI1	128	(D)	0.697	0.29	0.703	0.283
HI2	129	(D)	0.714	0.267	0.734	0.249
ID1	130	(R)	0.322	0.649	0.351	0.625
ID2	131	(R)	0.331	0.641	0.371	0.605
IL1	132	(D)	0.79	0.202	0.808	0.185
IL2	133	(D)	0.807	0.185	0.811	0.182
IL3	134	(D)	0.559	0.426	0.583	0.404
IL4	135	(D)	0.809	0.171	0.805	0.182
IL5	136	(D)	0.66	0.318	0.699	0.288
IL6	137	(R)	0.451	0.533	0.513	0.473
IL7	138	(D)	0.872	0.118	0.894	0.099
IL8	139	(D)	0.574	0.409	0.615	0.371
IL9	140	(D)	0.65	0.333	0.686	0.303
IL10	141	(R)	0.575	0.411	0.63	0.359
IL11	142	(D)	0.578	0.406	0.613	0.375
IL12	143	(R)	0.497	0.482	0.547	0.436
IL13	144	(R)	0.486	0.489	0.546	0.436
IL14	145	(R)	0.442	0.542	0.507	0.48
IL15	146	(R)	0.341	0.639	0.428	0.554
IL16	147	(R)	0.452	0.529	0.5	0.482
IL17	148	(D)	0.576	0.406	0.6	0.385
IL18	149	(R)	0.374	0.607	0.441	0.544
IN1	150	(D)	0.612	0.374	0.633	0.358
IN2	151	(R)	0.421	0.561	0.496	0.493
IN3	152	(R)	0.357	0.625	0.43	0.56
IN4	153	(R)	0.369	0.609	0.446	0.542
IN5	154	(R)	0.407	0.575	0.466	0.526
IN6	155	(R)	0.373	0.604	0.436	0.55
IN7	156	(D)	0.629	0.354	0.663	0.328
IN8	157	(R)	0.396	0.584	0.481	0.506
IN9	158	(R)	0.407	0.572	0.462	0.527
IA1	159	(R)	0.562	0.425	0.585	0.404
IA2	160	(D)	0.558	0.427	0.571	0.416
IA3	161	(R)	0.514	0.472	0.524	0.463
IA4	162	(R)	0.453	0.534	0.485	0.502
KS1	163	(R)	0.276	0.701	0.31	0.672
KS2	164	(R)	0.42	0.556	0.453	0.528
KS3	165	(R)	0.443	0.538	0.488	0.499
KS4	166	(R)	0.361	0.616	0.395	0.586
KY1	167	(R)	0.321	0.664	0.369	0.616
KY2	168	(R)	0.351	0.633	0.372	0.615
KY3	169	(D)	0.557	0.428	0.562	0.428
KY4	170	(R)	0.348	0.634	0.37	0.615
KY5	171	(R)	0.232	0.75	0.316	0.666
KY6	172	(R)	0.422	0.558	0.448	0.537
LA1	173	(R)	0.269	0.709	0.253	0.727
LA2	174	(D)	0.758	0.228	0.734	0.254
LA3	175	(R)	0.323	0.661	0.341	0.642
LA4	176	(R)	0.397	0.59	0.399	0.589
LA5	177	(R)	0.377	0.61	0.367	0.62
LA6	178	(R)	0.32	0.661	0.309	0.675
ME1	179	(D)	0.596	0.382	0.607	0.375
ME2	180	(R)	0.529	0.444	0.546	0.434
MD1	181	(R)	0.378	0.603	0.384	0.596
MD2	182	(D)	0.629	0.351	0.606	0.375
MD3	183	(D)	0.606	0.372	0.601	0.38
MD4	184	(D)	0.783	0.207	0.773	0.218
MD5	185	(D)	0.662	0.323	0.651	0.336
MD6	186	(D)	0.554	0.426	0.563	0.42
MD7	187	(D)	0.76	0.225	0.762	0.224
MD8	188	(D)	0.62	0.361	0.628	0.356
MA1	189	(D)	0.64	0.343	0.641	0.337
MA2	190	(D)	0.587	0.392	0.604	0.375
MA3	191	(D)	0.569	0.414	0.588	0.394
MA4	192	(D)	0.571	0.413	0.604	0.379
MA5	193	(D)	0.652	0.331	0.662	0.321
MA6	194	(D)	0.547	0.439	0.569	0.414
MA7	195	(D)	0.825	0.156	0.819	0.167
MA8	196	(D)	0.578	0.408	0.579	0.405
MA9	197	(D)	0.555	0.431	0.578	0.406
MI1	198	(R)	0.453	0.536	0.497	0.484
MI2	199	(R)	0.431	0.56	0.48	0.503
MI3	200	(R)	0.458	0.531	0.497	0.486
MI4	201	(R)	0.455	0.535	0.496	0.486
MI5	202	(D)	0.607	0.383	0.63	0.353
MI6	203	(R)	0.488	0.502	0.531	0.452
MI7	204	(R)	0.479	0.51	0.508	0.474
MI8	205	(R)	0.48	0.511	0.52	0.464
MI9	206	(D)	0.572	0.419	0.581	0.401
MI10	207	(R)	0.437	0.553	0.48	0.5
MI11	208	(R)	0.469	0.523	0.502	0.483
MI12	209	(D)	0.662	0.328	0.669	0.314
MI13	210	(D)	0.852	0.143	0.848	0.142
MI14	211	(D)	0.81	0.186	0.822	0.171
MN1	212	(D)	0.496	0.482	0.508	0.467
MN2	213	(R)	0.491	0.49	0.505	0.476
MN3	214	(R)	0.496	0.488	0.51	0.474
MN4	215	(D)	0.625	0.355	0.626	0.355
MN5	216	(D)	0.735	0.24	0.734	0.245
MN6	217	(R)	0.415	0.565	0.432	0.547
MN7	218	(D)	0.441	0.539	0.471	0.504
MN8	219	(D)	0.517	0.462	0.531	0.445
MS1	220	(R)	0.37	0.619	0.366	0.624
MS2	221	(D)	0.664	0.33	0.642	0.352
MS3	222	(R)	0.391	0.6	0.384	0.608
MS4	223	(R)	0.312	0.676	0.311	0.679
MO1	224	(D)	0.799	0.189	0.803	0.186
MO2	225	(R)	0.414	0.571	0.464	0.526
MO3	226	(R)	0.361	0.62	0.428	0.558
MO4	227	(R)	0.364	0.612	0.419	0.565
MO5	228	(D)	0.589	0.394	0.62	0.368
MO6	229	(R)	0.379	0.6	0.431	0.553
MO7	230	(R)	0.303	0.676	0.353	0.631
MO8	231	(R)	0.32	0.659	0.383	0.6
MT1	232	(R)	0.417	0.554	0.473	0.495
NE1	233	(R)	0.408	0.574	0.442	0.543
NE2	234	(D)	0.457	0.529	0.5	0.488
NE3	235	(R)	0.278	0.702	0.311	0.671
NV1	236	(D)	0.656	0.324	0.645	0.33
NV2	237	(R)	0.448	0.529	0.494	0.482
NV3	238	(R)	0.495	0.487	0.535	0.446
NV4	239	(R)	0.544	0.437	0.564	0.414
NH1	240	(R)	0.502	0.486	0.528	0.464
NH2	241	(D)	0.542	0.445	0.56	0.431
NJ1	242	(D)	0.651	0.338	0.647	0.342
NJ2	243	(R)	0.535	0.454	0.532	0.455
NJ3	244	(R)	0.518	0.472	0.511	0.477
NJ4	245	(R)	0.447	0.542	0.453	0.536
NJ5	246	(R)	0.479	0.51	0.485	0.505
NJ6	247	(D)	0.614	0.374	0.584	0.405
NJ7	248	(R)	0.463	0.525	0.472	0.516
NJ8	249	(D)	0.783	0.207	0.732	0.26
NJ9	250	(D)	0.683	0.308	0.64	0.352
NJ10	251	(D)	0.879	0.115	0.849	0.146
NJ11	252	(R)	0.466	0.524	0.47	0.521
NJ12	253	(D)	0.665	0.324	0.657	0.333
NM1	254	(D)	0.553	0.396	0.597	0.39
NM2	255	(R)	0.449	0.517	0.484	0.502
NM3	256	(D)	0.575	0.387	0.612	0.375
NY1	257	(R)	0.496	0.491	0.51	0.48
NY2	258	(R)	0.516	0.472	0.51	0.48
NY3	259	(D)	0.508	0.482	0.54	0.46
NY4	260	(D)	0.563	0.428	0.55	0.44
NY5	261	(D)	0.906	0.091	0.86	0.14
NY6	262	(D)	0.678	0.31	0.63	0.36
NY7	263	(D)	0.884	0.103	0.84	0.15
NY8	264	(D)	0.892	0.102	0.86	0.14
NY9	265	(D)	0.852	0.139	0.84	0.15
NY10	266	(D)	0.736	0.251	0.76	0.23
NY11	267	(R)	0.516	0.473	0.48	0.51
NY12	268	(D)	0.769	0.215	0.8	0.19
NY13	269	(D)	0.946	0.046	0.93	0.06
NY14	270	(D)	0.807	0.183	0.76	0.23
NY15	271	(D)	0.967	0.03	0.95	0.05
NY16	272	(D)	0.737	0.255	0.73	0.26
NY17	273	(D)	0.571	0.419	0.58	0.41
NY18	274	(D)	0.514	0.471	0.52	0.47
NY19	275	(R)	0.521	0.459	0.53	0.45
NY20	276	(D)	0.592	0.388	0.58	0.4
NY21	277	(R)	0.522	0.461	0.52	0.47
NY22	278	(R)	0.488	0.492	0.49	0.49
NY23	279	(R)	0.484	0.496	0.5	0.49
NY24	280	(R)	0.57	0.411	0.56	0.42
NY25	281	(D)	0.588	0.394	0.59	0.4
NY26	282	(D)	0.639	0.343	0.63	0.35
NY27	283	(R)	0.429	0.553	0.44	0.54
NC1	284	(D)	0.716	0.279	0.71	0.29
NC2	285	(R)	0.417	0.573	0.43	0.56
NC3	286	(R)	0.41	0.58	0.43	0.56
NC4	287	(D)	0.714	0.274	0.72	0.27
NC5	288	(R)	0.398	0.591	0.42	0.57
NC6	289	(R)	0.413	0.577	0.43	0.56
NC7	290	(R)	0.399	0.592	0.42	0.58
NC8	291	(R)	0.41	0.581	0.42	0.57
NC9	292	(R)	0.428	0.562	0.45	0.54
NC10	293	(R)	0.409	0.58	0.42	0.57
NC11	294	(R)	0.378	0.609	0.4	0.58
NC12	295	(D)	0.785	0.208	0.78	0.21
NC13	296	(R)	0.435	0.554	0.45	0.54
ND1	297	(R)	0.389	0.587	0.446	0.533
OH1	298	(R)	0.463	0.524	0.472	0.518
OH2	299	(R)	0.437	0.547	0.443	0.542
OH3	300	(D)	0.697	0.289	0.674	0.313
OH4	301	(R)	0.42	0.56	0.437	0.544
OH5	302	(R)	0.441	0.539	0.46	0.522
OH6	303	(R)	0.427	0.552	0.447	0.531
OH7	304	(R)	0.442	0.537	0.469	0.509
OH8	305	(R)	0.364	0.619	0.381	0.603
OH9	306	(D)	0.676	0.309	0.668	0.316
OH10	307	(R)	0.482	0.501	0.493	0.493
OH11	308	(D)	0.828	0.165	0.82	0.172
OH12	309	(R)	0.439	0.544	0.448	0.537
OH13	310	(D)	0.629	0.354	0.623	0.358
OH14	311	(R)	0.476	0.509	0.491	0.494
OH15	312	(R)	0.463	0.519	0.461	0.522
OH16	313	(R)	0.452	0.534	0.472	0.513
OK1	314	(R)	0.342	0.658	0.358	0.642
OK2	315	(R)	0.322	0.678	0.343	0.657
OK3	316	(R)	0.261	0.739	0.271	0.729
OK4	317	(R)	0.329	0.671	0.339	0.661
OK5	318	(R)	0.408	0.592	0.408	0.592
OR1	319	(D)	0.573	0.4	0.596	0.377
OR2	320	(R)	0.405	0.568	0.433	0.538
OR3	321	(D)	0.72	0.247	0.729	0.243
OR4	322	(D)	0.517	0.45	0.542	0.427
OR5	323	(D)	0.505	0.471	0.53	0.442
PA1	324	(D)	0.823	0.169	0.787	0.206
PA2	325	(D)	0.904	0.09	0.91	0.088
PA3	326	(R)	0.43	0.556	0.463	0.523
PA4	327	(R)	0.415	0.571	0.451	0.538
PA5	328	(R)	0.415	0.571	0.471	0.515
PA6	329	(R)	0.481	0.506	0.53	0.46
PA7	330	(R)	0.485	0.504	0.512	0.478
PA8	331	(R)	0.493	0.494	0.532	0.457
PA9	332	(R)	0.359	0.628	0.409	0.579
PA10	333	(R)	0.384	0.601	0.423	0.565
PA11	334	(R)	0.445	0.539	0.471	0.517
PA12	335	(R)	0.409	0.578	0.447	0.541
PA13	336	(D)	0.662	0.329	0.654	0.337
PA14	337	(D)	0.68	0.306	0.67	0.32
PA15	338	(R)	0.479	0.508	0.521	0.466
PA16	339	(R)	0.463	0.524	0.501	0.49
PA17	340	(D)	0.554	0.433	0.569	0.419
PA18	341	(R)	0.41	0.579	0.438	0.552
RI1	342	(D)	0.662	0.322	0.666	0.318
RI2	343	(D)	0.598	0.383	0.599	0.383
SC1	344	(R)	0.402	0.583	0.427	0.561
SC2	345	(R)	0.394	0.591	0.394	0.595
SC3	346	(R)	0.339	0.645	0.351	0.635
SC4	347	(R)	0.362	0.622	0.377	0.606
SC5	348	(R)	0.436	0.551	0.438	0.55
SC6	349	(D)	0.709	0.281	0.701	0.289
SC7	350	(R)	0.444	0.545	0.453	0.536
SD1	351	(R)	0.399	0.579	0.447	0.532
TN1	352	(R)	0.257	0.727	0.286	0.699
TN2	353	(R)	0.309	0.673	0.345	0.64
TN3	354	(R)	0.351	0.633	0.373	0.613
TN4	355	(R)	0.331	0.653	0.358	0.626
TN5	356	(D)	0.559	0.425	0.575	0.413
TN6	357	(R)	0.295	0.691	0.335	0.649
TN7	358	(R)	0.329	0.657	0.363	0.624
TN8	359	(R)	0.328	0.661	0.349	0.641
TN9	360	(D)	0.783	0.209	0.77	0.225
TX1	361	(R)	0.275	0.716	0.3	0.69
TX2	362	(R)	0.356	0.629	0.37	0.62
TX3	363	(R)	0.342	0.643	0.37	0.61
TX4	364	(R)	0.248	0.74	0.29	0.7
TX5	365	(R)	0.344	0.645	0.37	0.62
TX6	366	(R)	0.408	0.579	0.42	0.57
TX7	367	(R)	0.386	0.599	0.4	0.59
TX8	368	(R)	0.217	0.77	0.26	0.73
TX9	369	(D)	0.78	0.211	0.76	0.23
TX10	370	(R)	0.388	0.591	0.43	0.56
TX11	371	(R)	0.196	0.792	0.23	0.76
TX12	372	(R)	0.317	0.668	0.35	0.64
TX13	373	(R)	0.185	0.802	0.22	0.77
TX14	374	(R)	0.395	0.593	0.42	0.57
TX15	375	(D)	0.574	0.415	0.57	0.42
TX16	376	(D)	0.642	0.345	0.64	0.35
TX17	377	(R)	0.377	0.604	0.41	0.58
TX18	378	(D)	0.761	0.228	0.77	0.23
TX19	379	(R)	0.25	0.736	0.28	0.71
TX20	380	(D)	0.589	0.397	0.58	0.41
TX21	381	(R)	0.379	0.598	0.42	0.56
TX22	382	(R)	0.367	0.621	0.39	0.6
TX23	383	(R)	0.481	0.507	0.5	0.49
TX24	384	(R)	0.38	0.604	0.41	0.58
TX25	385	(R)	0.378	0.599	0.43	0.56
TX26	386	(R)	0.307	0.676	0.35	0.64
TX27	387	(R)	0.382	0.605	0.4	0.59
TX28	388	(D)	0.603	0.387	0.58	0.41
TX29	389	(D)	0.659	0.33	0.62	0.37
TX30	390	(D)	0.796	0.196	0.78	0.21
TX31	391	(R)	0.383	0.596	0.43	0.56
TX32	392	(R)	0.415	0.57	0.44	0.55
TX33	393	(D)	0.72	0.271	0.69	0.31
TX34	394	(D)	0.608	0.383	0.6	0.39
TX35	395	(D)	0.63	0.346	0.63	0.35
TX36	396	(R)	0.257	0.732	0.3	0.69
UT1	397	(R)	0.204	0.774	0.294	0.677
UT2	398	(R)	0.292	0.68	0.384	0.585
UT3	399	(R)	0.195	0.783	0.295	0.675
UT4	400	(R)	0.302	0.672	0.409	0.561
VT1	401	(D)	0.67	0.312	0.678	0.306
VA1	402	(R)	0.456	0.53	0.469	0.523
VA2	403	(R)	0.501	0.486	0.504	0.487
VA3	404	(D)	0.79	0.2	0.785	0.209
VA4	405	(R)	0.488	0.501	0.489	0.504
VA5	406	(R)	0.459	0.525	0.479	0.511
VA6	407	(R)	0.395	0.588	0.42	0.57
VA7	408	(R)	0.417	0.569	0.436	0.556
VA8	409	(D)	0.678	0.31	0.685	0.306
VA9	410	(R)	0.349	0.631	0.402	0.584
VA10	411	(R)	0.488	0.499	0.51	0.482
VA11	412	(D)	0.625	0.363	0.623	0.37
WA1	413	(D)	0.541	0.433	0.563	0.419
WA2	414	(D)	0.592	0.38	0.605	0.376
WA3	415	(R)	0.479	0.496	0.509	0.471
WA4	416	(R)	0.379	0.597	0.392	0.589
WA5	417	(R)	0.437	0.535	0.463	0.512
WA6	418	(D)	0.561	0.412	0.57	0.409
WA7	419	(D)	0.792	0.181	0.804	0.18
WA8	420	(R)	0.497	0.481	0.515	0.468
WA9	421	(D)	0.683	0.296	0.686	0.299
WA10	422	(D)	0.563	0.411	0.572	0.41
WV1	423	(R)	0.355	0.622	0.415	0.567
WV2	424	(R)	0.38	0.6	0.439	0.547
WV3	425	(R)	0.328	0.65	0.423	0.557
WI1	426	(R)	0.474	0.516	0.508	0.481
WI2	427	(D)	0.683	0.305	0.701	0.286
WI3	428	(D)	0.548	0.438	0.594	0.391
WI4	429	(D)	0.753	0.238	0.744	0.246
WI5	430	(R)	0.377	0.613	0.418	0.572
WI6	431	(R)	0.458	0.531	0.494	0.493
WI7	432	(R)	0.478	0.509	0.532	0.453
WI8	433	(R)	0.476	0.513	0.537	0.45
WY1	434	(R)	0.276	0.682	0.327	0.652
